canonical_id,canonical_name,venue_type,n_events_nearby,nearest_event_m
cv_0150,Picky Barista,cafe,0,4006.0
cv_0151,Madame Bonté Café,cafe,0,4370.0
cv_0152,Coffee Project New York | Hell's Kitchen,cafe,0,1048.0
cv_0153,Coffee Project New York | Financial District,cafe,0,519.0
cv_0154,Blue Bottle Coffee,cafe,0,1553.0
cv_0155,Cafe Cluny,restaurant,0,375.0
cv_0156,Ground Central Coffee Company,cafe,0,551.0
cv_0157,Company,cafe,0,735.0
cv_0158,Felix Roasting Co.,cafe,0,921.0
cv_0159,Urbana Cafe & Gallery,cafe,0,1215.0
cv_0162,Rex,cafe,0,2582.0
cv_0163,JOE & THE JUICE,cafe,0,2112.0
cv_0164,Silence Please,cafe,0,2048.0
cv_0165,Sandro's,restaurant,0,3717.0
cv_0166,Enoch's,cafe,0,988.0
cv_0167,El Barrista cafe,cafe,0,6112.0
cv_0168,Kaafi by Chaiguy,cafe,0,6088.0
cv_0169,NBHD Brulee,cafe,0,7792.0
cv_0170,Slate Cafe NoMad,cafe,0,1307.0
cv_0276,Gregorys Coffee,cafe,0,1276.0
cv_0171,787 Coffee,cafe,0,3200.0
cv_0172,Gregorys Coffee,cafe,0,2561.0
cv_0173,Frame NYC,cafe,0,2785.0
cv_0174,Paris Baguette,cafe,0,3527.0
