canonical_id,dow,hour,busyness,busyness_pct
cv_0157,6,15,3730.5,16.5
cv_0157,6,16,3972.7,17.6
cv_0157,6,17,4006.7,17.7
cv_0157,6,18,3692.1,16.3
cv_0157,6,19,2910.6,12.9
cv_0157,6,20,2434.9,10.8
cv_0157,6,21,2001.8,8.8
cv_0157,6,22,1552.4,6.9
cv_0157,6,23,1021.0,4.5
cv_0158,0,0,181.7,0.8
cv_0158,0,1,69.9,0.3
cv_0158,0,2,35.6,0.2
cv_0158,0,3,23.9,0.1
cv_0158,0,4,29.4,0.1
cv_0158,0,5,153.4,0.7
cv_0158,0,6,542.5,2.4
cv_0158,0,7,1346.6,5.9
cv_0158,0,8,2192.9,9.7
cv_0158,0,9,1690.7,7.5
cv_0158,0,10,1312.9,5.8
cv_0158,0,11,1368.6,6.0
cv_0158,0,12,1575.5,7.0
cv_0158,0,13,1780.6,7.9
cv_0158,0,14,2376.3,10.5
cv_0158,0,15,3191.3,14.1
cv_0158,0,16,4595.4,20.3
cv_0158,0,17,7796.8,34.4
cv_0158,0,18,5554.3,24.5
cv_0158,0,19,2821.8,12.5
cv_0158,0,20,1653.4,7.3
cv_0158,0,21,1121.0,5.0
cv_0158,0,22,842.9,3.7
cv_0158,0,23,536.9,2.4
cv_0158,1,0,398.9,1.8
cv_0158,1,1,103.6,0.5
cv_0158,1,2,45.3,0.2
cv_0158,1,3,25.6,0.1
cv_0158,1,4,33.9,0.1
cv_0158,1,5,181.0,0.8
cv_0158,1,6,613.9,2.7
cv_0158,1,7,1636.6,7.2
cv_0158,1,8,2932.7,13.0
cv_0158,1,9,2173.6,9.6
cv_0158,1,10,1505.8,6.7
cv_0158,1,11,1518.5,6.7
cv_0158,1,12,1756.4,7.8
cv_0158,1,13,2003.0,8.8
cv_0158,1,14,2720.7,12.0
cv_0158,1,15,3684.4,16.3
cv_0158,1,16,5668.9,25.0
cv_0158,1,17,10189.7,45.0
cv_0158,1,18,7129.0,31.5
cv_0158,1,19,3548.4,15.7
cv_0158,1,20,2052.2,9.1
cv_0158,1,21,1423.6,6.3
cv_0158,1,22,1056.8,4.7
cv_0158,1,23,656.9,2.9
cv_0158,2,0,454.0,2.0
cv_0158,2,1,125.4,0.6
cv_0158,2,2,52.2,0.2
cv_0158,2,3,29.4,0.1
cv_0158,2,4,35.2,0.2
cv_0158,2,5,179.9,0.8
cv_0158,2,6,605.5,2.7
cv_0158,2,7,1611.0,7.1
cv_0158,2,8,2871.9,12.7
cv_0158,2,9,2140.6,9.5
cv_0158,2,10,1500.1,6.6
cv_0158,2,11,1545.6,6.8
cv_0158,2,12,1786.1,7.9
cv_0158,2,13,2045.4,9.0
cv_0158,2,14,2742.0,12.1
cv_0158,2,15,3677.3,16.2
cv_0158,2,16,5606.4,24.8
cv_0158,2,17,9990.9,44.1
cv_0158,2,18,6991.9,30.9
cv_0158,2,19,3517.4,15.5
cv_0158,2,20,2062.5,9.1
cv_0158,2,21,1448.5,6.4
cv_0158,2,22,1102.6,4.9
cv_0158,2,23,685.2,3.0
cv_0158,3,0,462.9,2.0
cv_0158,3,1,131.3,0.6
cv_0158,3,2,54.1,0.2
cv_0158,3,3,30.7,0.1
cv_0158,3,4,35.5,0.2
cv_0158,3,5,177.1,0.8
cv_0158,3,6,578.9,2.6
cv_0158,3,7,1501.2,6.6
cv_0158,3,8,2639.5,11.7
cv_0158,3,9,2062.9,9.1
cv_0158,3,10,1484.9,6.6
cv_0158,3,11,1566.6,6.9
cv_0158,3,12,1787.9,7.9
cv_0158,3,13,2048.4,9.0
cv_0158,3,14,2726.3,12.0
cv_0158,3,15,3626.0,16.0
cv_0158,3,16,5437.4,24.0
cv_0158,3,17,9123.8,40.3
cv_0158,3,18,6553.0,28.9
cv_0158,3,19,3444.7,15.2
cv_0158,3,20,2042.4,9.0
cv_0158,3,21,1460.8,6.5
cv_0158,3,22,1139.8,5.0
cv_0158,3,23,715.6,3.2
cv_0158,4,0,466.7,2.1
cv_0158,4,1,138.2,0.6
cv_0158,4,2,56.8,0.3
cv_0158,4,3,32.6,0.1
cv_0158,4,4,36.6,0.2
cv_0158,4,5,163.5,0.7
cv_0158,4,6,489.4,2.2
cv_0158,4,7,1109.9,4.9
cv_0158,4,8,1635.3,7.2
cv_0158,4,9,1431.2,6.3
cv_0158,4,10,1392.4,6.2
cv_0158,4,11,1551.7,6.9
cv_0158,4,12,1825.0,8.1
cv_0158,4,13,2120.5,9.4
cv_0158,4,14,2794.8,12.3
cv_0158,4,15,3674.5,16.2
cv_0158,4,16,4643.4,20.5
cv_0158,4,17,5725.1,25.3
cv_0158,4,18,4114.9,18.2
cv_0158,4,19,2707.4,12.0
cv_0158,4,20,1843.4,8.1
cv_0158,4,21,1420.9,6.3
cv_0158,4,22,1208.7,5.3
cv_0158,4,23,803.6,3.5
cv_0158,5,0,576.3,2.5
cv_0158,5,1,196.3,0.9
cv_0158,5,2,82.7,0.4
cv_0158,5,3,44.9,0.2
cv_0158,5,4,41.2,0.2
cv_0158,5,5,57.8,0.3
cv_0158,5,6,167.4,0.7
cv_0158,5,7,300.8,1.3
cv_0158,5,8,468.7,2.1
cv_0158,5,9,737.4,3.3
cv_0158,5,10,1066.4,4.7
cv_0158,5,11,1344.5,5.9
cv_0158,5,12,1500.5,6.6
cv_0158,5,13,1588.3,7.0
cv_0158,5,14,1717.8,7.6
cv_0158,5,15,1892.3,8.4
cv_0158,5,16,2008.4,8.9
cv_0158,5,17,1978.3,8.7
cv_0158,5,18,1840.5,8.1
cv_0158,5,19,1556.6,6.9
cv_0158,5,20,1192.2,5.3
cv_0158,5,21,1046.4,4.6
cv_0158,5,22,985.9,4.4
cv_0158,5,23,754.7,3.3
cv_0158,6,0,387.6,1.7
cv_0158,6,1,176.5,0.8
cv_0158,6,2,77.6,0.3
cv_0158,6,3,44.3,0.2
cv_0158,6,4,39.2,0.2
cv_0158,6,5,52.6,0.2
cv_0158,6,6,129.4,0.6
cv_0158,6,7,236.4,1.0
cv_0158,6,8,372.1,1.6
cv_0158,6,9,600.4,2.7
cv_0158,6,10,887.2,3.9
cv_0158,6,11,1111.3,4.9
cv_0158,6,12,1255.8,5.5
cv_0158,6,13,1270.5,5.6
cv_0158,6,14,1342.2,5.9
cv_0158,6,15,1452.0,6.4
cv_0158,6,16,1577.9,7.0
cv_0158,6,17,1582.8,7.0
cv_0158,6,18,1463.9,6.5
cv_0158,6,19,1075.3,4.8
cv_0158,6,20,856.7,3.8
cv_0158,6,21,713.0,3.1
cv_0158,6,22,601.6,2.7
cv_0158,6,23,395.7,1.7
cv_0159,0,0,443.2,2.0
cv_0159,0,1,172.8,0.8
cv_0159,0,2,89.2,0.4
cv_0159,0,3,53.5,0.2
cv_0159,0,4,88.3,0.4
cv_0159,0,5,493.3,2.2
cv_0159,0,6,1403.8,6.2
cv_0159,0,7,3168.1,14.0
cv_0159,0,8,4630.0,20.5
cv_0159,0,9,3515.4,15.5
cv_0159,0,10,2357.7,10.4
cv_0159,0,11,2165.3,9.6
cv_0159,0,12,2213.8,9.8
cv_0159,0,13,2393.1,10.6
cv_0159,0,14,2698.6,11.9
cv_0159,0,15,3405.2,15.0
cv_0159,0,16,4138.9,18.3
cv_0159,0,17,5686.6,25.1
cv_0159,0,18,4623.5,20.4
cv_0159,0,19,3086.0,13.6
cv_0159,0,20,2384.9,10.5
cv_0159,0,21,2103.7,9.3
cv_0159,0,22,1644.8,7.3
cv_0159,0,23,915.6,4.0
cv_0159,1,0,457.2,2.0
cv_0159,1,1,168.1,0.7
cv_0159,1,2,85.3,0.4
cv_0159,1,3,52.4,0.2
cv_0159,1,4,88.1,0.4
cv_0159,1,5,564.2,2.5
cv_0159,1,6,1632.1,7.2
cv_0159,1,7,3866.6,17.1
cv_0159,1,8,6168.7,27.3
cv_0159,1,9,4502.2,19.9
cv_0159,1,10,2622.2,11.6
cv_0159,1,11,2324.6,10.3
cv_0159,1,12,2408.3,10.6
cv_0159,1,13,2561.5,11.3
cv_0159,1,14,2904.1,12.8
cv_0159,1,15,3704.0,16.4
cv_0159,1,16,4763.2,21.0
cv_0159,1,17,7094.3,31.3
cv_0159,1,18,5825.6,25.7
cv_0159,1,19,3632.1,16.0
cv_0159,1,20,2754.8,12.2
cv_0159,1,21,2417.6,10.7
cv_0159,1,22,1915.1,8.5
cv_0159,1,23,1135.3,5.0
cv_0159,2,0,511.4,2.3
cv_0159,2,1,205.3,0.9
cv_0159,2,2,101.2,0.4
cv_0159,2,3,59.0,0.3
cv_0159,2,4,90.7,0.4
cv_0159,2,5,560.0,2.5
cv_0159,2,6,1616.5,7.1
cv_0159,2,7,3765.8,16.6
cv_0159,2,8,6077.3,26.8
cv_0159,2,9,4451.4,19.7
cv_0159,2,10,2604.9,11.5
cv_0159,2,11,2347.1,10.4
cv_0159,2,12,2441.7,10.8
cv_0159,2,13,2626.9,11.6
cv_0159,2,14,2925.8,12.9
cv_0159,2,15,3709.5,16.4
cv_0159,2,16,4723.4,20.9
cv_0159,2,17,6999.9,30.9
