canonical_id,canonical_name,venue_type,nearest_class,nearest_dist_m,n_roads_within,dominant_class,dominant_dist_m,road_db,road_noise_prior
cv_0151,Madame Bonté Café,cafe,service,15.8,109,primary,20.9,66.8,0.623
cv_0152,Coffee Project New York | Hell's Kitchen,cafe,residential,16.4,48,primary,21.9,66.6,0.617
cv_0153,Coffee Project New York | Financial District,cafe,pedestrian,15.3,156,primary,25.0,66.0,0.601
cv_0154,Blue Bottle Coffee,cafe,primary,11.5,91,primary,11.5,69.4,0.697
cv_0155,Cafe Cluny,restaurant,residential,10.0,111,secondary,62.3,59.1,0.401
cv_0156,Ground Central Coffee Company,cafe,secondary,12.9,64,secondary,12.9,65.9,0.597
cv_0157,Company,cafe,secondary,14.0,118,secondary,14.0,65.5,0.586
cv_0158,Felix Roasting Co.,cafe,secondary,22.3,92,primary,39.4,64.0,0.544
cv_0159,Urbana Cafe & Gallery,cafe,residential,17.2,70,secondary,85.6,57.7,0.362
cv_0162,Rex,cafe,residential,15.5,128,primary,42.0,63.8,0.536
cv_0163,JOE & THE JUICE,cafe,residential,20.3,50,secondary,32.2,61.9,0.483
cv_0164,Silence Please,cafe,primary,23.3,81,primary,23.3,66.3,0.609
cv_0165,Sandro's,restaurant,secondary,27.5,49,secondary,27.5,62.6,0.503
cv_0166,Enoch's,cafe,secondary,13.7,234,primary,18.3,67.4,0.639
cv_0167,El Barrista cafe,cafe,primary,26.8,59,primary,26.8,65.7,0.592
cv_0168,Kaafi by Chaiguy,cafe,secondary,16.3,68,secondary,16.3,64.9,0.568
cv_0169,NBHD Brulee,cafe,residential,20.2,58,secondary,22.6,63.5,0.527
cv_0170,Slate Cafe NoMad,cafe,secondary,10.7,54,secondary,10.7,66.7,0.62
cv_0276,Gregorys Coffee,cafe,residential,11.9,63,secondary,22.2,63.5,0.529
cv_0171,787 Coffee,cafe,residential,17.8,41,primary,92.5,60.3,0.438
cv_0172,Gregorys Coffee,cafe,primary,21.0,66,primary,21.0,66.8,0.622
cv_0173,Frame NYC,cafe,primary,17.3,56,primary,17.3,67.6,0.646
cv_0174,Paris Baguette,cafe,secondary,10.5,31,secondary,10.5,66.8,0.623
cv_0228,Gansevoort Liberty Market,restaurant,unclassified,25.7,637,secondary,34.7,61.6,0.474
cv_0175,Le Pain Quotidien,cafe,secondary,17.1,53,secondary,17.1,64.7,0.562
cv_0176,Barnes & Noble Cafe,cafe,secondary,22.2,72,secondary,22.2,63.5,0.53
cv_0177,JOE & THE JUICE,cafe,secondary,13.7,47,secondary,13.7,65.6,0.59
cv_0178,Black Star Bakery & Cafe,cafe,secondary,22.8,32,secondary,22.8,63.4,0.526
cv_0179,Inès,cafe,residential,15.7,50,primary,84.5,60.7,0.449
cv_0180,Birch Coffee,cafe,primary,27.3,63,primary,27.3,65.6,0.59
cv_0181,Bluestone Lane Chelsea Piers Café,cafe,pedestrian,2.2,93,trunk,75.5,64.2,0.549
cv_0182,Moka & Co,cafe,primary,29.8,84,primary,29.8,65.3,0.579
cv_0183,Ten Thousand Coffee,cafe,living_street,18.1,77,secondary,124.6,56.0,0.316
cv_0184,Home Sweet Harlem,cafe,secondary,25.9,54,secondary,25.9,62.9,0.51
cv_0185,Devoción,cafe,secondary,15.8,76,secondary,15.8,65.0,0.572
cv_0186,Buunni Coffee - Inwood,cafe,primary,26.5,50,primary,26.5,65.8,0.593
cv_0204,"Drip Drop Café, coffee shop",cafe,residential,7.0,63,primary,160.2,58.0,0.37
cv_0187,Blue Bottle Coffee,cafe,pedestrian,21.0,149,motorway,233.1,61.3,0.466
cv_0188,Black Fox Coffee,cafe,residential,24.2,165,motorway,281.7,60.5,0.443
cv_0189,787 Coffee,cafe,residential,15.1,102,secondary,67.3,58.7,0.392
cv_0190,Picky Barista,cafe,secondary,34.7,67,secondary,34.7,61.6,0.474
cv_0227,Gregorys Coffee,cafe,primary,17.8,75,primary,17.8,67.5,0.643
cv_0191,Hi-Note Radio,other,tertiary,15.4,51,tertiary,15.4,59.1,0.404
cv_0192,La Colombe Coffee Workshop,cafe,primary,30.9,108,primary,30.9,65.1,0.574
cv_0193,Lafayette Grand Café & Bakery,restaurant,primary,24.0,111,primary,24.0,66.2,0.606
cv_0194,Voyager Espresso,cafe,residential,10.3,131,residential,10.3,56.9,0.339
cv_0195,Think Coffee,cafe,secondary,14.3,74,secondary,14.3,65.5,0.585
cv_0196,Café Grumpy - Fashion District,cafe,residential,17.3,67,secondary,41.6,60.8,0.452
cv_0197,kalei nyc,cafe,primary,23.6,84,primary,23.6,66.3,0.608
cv_0198,Boris & Horton,cafe,residential,14.2,44,secondary,20.5,63.9,0.539
cv_0203,maman,cafe,residential,9.3,54,secondary,88.7,57.5,0.358
cv_0199,Spring Cafe Aspen,cafe,residential,10.2,91,primary,64.2,61.9,0.483
cv_0200,Bluestone Lane Collective Caf,cafe,residential,9.4,77,secondary,18.2,64.4,0.555
cv_0201,Joe Coffee Company: Chelsea,cafe,secondary,24.1,52,secondary,24.1,63.2,0.519
cv_0202,Caffe Vita,cafe,residential,10.0,110,primary,63.7,62.0,0.485
cv_0238,Birch Coffee,cafe,secondary,33.5,69,secondary,33.5,61.7,0.479
cv_0205,Joe Coffee Company: W 85th St,cafe,residential,16.2,43,primary,19.1,67.2,0.634
cv_0206,Third Rail Coffee,cafe,residential,10.1,63,residential,10.1,57.0,0.342
cv_0207,Gregorys Coffee,cafe,secondary,28.3,57,secondary,28.3,62.5,0.499
cv_0208,Think Coffee,cafe,service,11.6,116,primary,13.7,68.6,0.675
cv_0209,Fort Washington Library,library,secondary,25.0,133,motorway,44.0,68.6,0.673
cv_0210,Riverside Library,library,primary,14.2,105,primary,14.2,68.5,0.67
cv_0211,Hamilton Grange Library,library,secondary,24.5,32,secondary,24.5,63.1,0.517
cv_0212,Harlem Library,library,residential,25.8,65,primary,61.2,62.1,0.49
cv_0213,Inwood Library,library,service,29.6,64,primary,31.3,65.0,0.573
cv_0214,Seward Park Library,library,secondary,29.6,78,secondary,29.6,62.3,0.494
cv_0215,Harry Belafonte 115th Street Library,library,residential,24.4,67,primary,52.3,62.8,0.509
cv_0216,La Cabra Bakery,cafe,primary,16.2,65,primary,16.2,67.9,0.655
cv_0217,Café Integral,cafe,residential,11.7,85,primary,35.0,64.6,0.559
cv_0218,Cafe Grumpy - Manhattan West,cafe,tertiary,28.8,133,motorway,33.4,69.8,0.707
cv_0219,Starbucks Coffee Company,cafe,residential,29.4,236,trunk,138.7,61.6,0.474
cv_0220,JOE & THE JUICE,cafe,unclassified,20.5,633,trunk,70.2,64.5,0.558
cv_0221,Arlo SoHo,hotel,secondary,16.0,170,motorway,60.3,67.2,0.634
cv_0222,Starbucks,cafe,residential,17.8,108,secondary,51.7,59.9,0.425
cv_0223,Starbucks Coffee Company,cafe,residential,15.3,87,primary,211.5,56.7,0.336
cv_0224,Starbucks Coffee Company,cafe,primary,12.2,123,primary,12.2,69.1,0.69
cv_0225,Starbucks Reserve - West Village,cafe,secondary,15.0,67,secondary,15.0,65.2,0.578
cv_0226,Starbucks Coffee Company,cafe,primary,13.6,62,primary,13.6,68.7,0.676
cv_0251,Black Star Bakery & Cafe,restaurant,residential,18.1,70,primary,48.4,63.2,0.519
cv_0229,Starbucks Coffee Company,cafe,secondary,25.7,39,secondary,25.7,62.9,0.512
cv_0230,Gregorys Coffee,cafe,secondary,10.6,87,secondary,10.6,66.7,0.621
cv_0231,Rex,cafe,primary,19.3,69,primary,19.3,67.1,0.633
cv_0232,Starbucks Coffee Company,cafe,residential,33.9,69,primary,43.0,63.7,0.533
cv_0233,Union Square Cafe,restaurant,primary,14.8,87,primary,14.8,68.3,0.665
cv_0234,Sipsteria Morningside,cafe,secondary,32.6,53,secondary,32.6,61.9,0.482
cv_0235,The Monkey Cup,cafe,primary,14.4,82,primary,14.4,68.4,0.669
cv_0236,The Uncommons,cafe,residential,9.3,78,residential,9.3,57.0,0.343
cv_0237,St Kilda Coffee,cafe,residential,9.2,80,primary,146.9,58.3,0.381
cv_0239,Le Pain Quotidien,cafe,pedestrian,8.3,90,secondary,73.3,58.3,0.381
cv_0240,Lucky Lucky Coffee,cafe,residential,15.6,52,primary,175.9,57.5,0.359
cv_0241,McNally Jackson Books Seaport,other,pedestrian,15.7,123,motorway,44.2,68.5,0.673
cv_0242,Lounge on Pearl,bar,residential,12.0,150,primary,50.1,63.0,0.514
cv_0294,:3Coffee | Flatiron,cafe,residential,21.0,67,secondary,141.3,55.5,0.3
cv_0243,Gregorys Coffee,cafe,primary,21.1,122,primary,21.1,66.8,0.622
cv_0244,Afficionado Coffee Roasters,cafe,secondary,11.6,107,secondary,11.6,66.4,0.611
cv_0245,Black Press Coffee,cafe,primary,15.5,49,primary,15.5,68.1,0.66
cv_0246,Plowshares Coffee Roasters,cafe,secondary,24.1,74,secondary,24.1,63.2,0.519
cv_0247,TAP Brazilian Café – 100% Gluten-Free | Tapioca Sandwiches & Açaí | Upper West Side – NYC,restaurant,primary,22.0,44,primary,22.0,66.6,0.616
cv_0248,Paris Baguette,cafe,primary,16.2,75,primary,16.2,67.9,0.655
cv_0249,Blu Café,cafe,residential,26.4,66,motorway,128.7,63.9,0.54
cv_0250,JOE & THE JUICE,cafe,primary,18.0,53,primary,18.0,67.4,0.641
cv_0252,Qahwah House coffee - W Village,cafe,residential,12.8,68,secondary,46.8,60.3,0.437
cv_0253,Grace Street Coffee & Desserts,cafe,residential,22.7,77,primary,142.1,58.5,0.385
cv_0254,The Oasis Cafe,cafe,secondary,21.1,45,secondary,21.1,63.8,0.536
cv_0255,Remedy Diner,restaurant,residential,9.4,97,primary,26.6,65.8,0.593
cv_0256,Coppelia,restaurant,residential,19.8,69,secondary,41.4,60.8,0.452
cv_0257,Waverly Diner,restaurant,residential,11.5,72,secondary,15.9,65.0,0.571
